tconst,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1078597,Elimination,0,2010,\N,87,"Action,Horror,Thriller",3.3,511.0
tt1078896,Hauntsville,0,2016,\N,\N,"Horror,Thriller",5.7,7.0
tt1078897,Hysteria,0,2010,\N,\N,"Horror,Thriller",6.6,46.0
tt1078933,Spirit Camp,0,2009,\N,96,"Comedy,Horror",4.6,630.0
tt10793644,The Vigil,0,2019,\N,89,"Horror,Mystery,Thriller",5.6,2658.0
tt10794406,Nightshift,0,2020,\N,95,Horror,7.2,33.0
tt10794460,Creat(e)ure,0,2020,\N,3,"Horror,Short",6.4,7.0
tt10795952,A Renaissance,0,2019,\N,23,"Drama,Horror,Short",9.3,9.0
tt10796056,Midnight,0,2019,\N,8,"Horror,Short",7.2,11.0
tt10799740,The Spring of Solitude,0,2019,\N,45,"Fantasy,Horror",7.7,61.0
tt10800758,Byeonshin,0,2019,\N,113,"Horror,Thriller",5.8,856.0
tt10800932,Gimmick,0,2019,\N,153,Horror,4.7,23.0
tt10801100,Downs of the Dead,0,2019,\N,23,"Comedy,Horror,Short",6.6,38.0
tt10801220,Urubú,0,2019,\N,90,"Horror,Thriller",4.9,28.0
tt10801398,Amjeon,0,2019,\N,86,"Horror,Mystery",5.2,520.0
tt10803844,Union Jack,0,2019,2020,30,"Action,Comedy,Horror",7.7,11.0
tt10804188,Scamp,0,2019,\N,19,"Comedy,Horror,Short",6.7,11.0
tt10804880,Movie Night,0,2020,\N,7,"Horror,Short",6.4,5.0
tt10805240,Evil VID: Decade in agony,0,2019,\N,\N,"Drama,Horror,Thriller",3.6,5.0
tt10805432,Fanxiao,0,2019,\N,102,"Horror,Mystery,Thriller",6.8,2317.0
tt10806886,Hauntnuah,0,2019,\N,6,"Horror,Short",9.4,5.0
tt10809006,The Last Thanksgiving,0,2020,\N,73,Horror,4.3,57.0
tt10809934,The Dark Days of Demetrius,0,2019,\N,60,Horror,6.5,62.0
tt10811066,Song of Horror,0,2019,\N,\N,Horror,6.6,13.0
tt10813648,Ghost Nation,0,2019,\N,42,"Documentary,Horror",6.0,661.0
tt10815138,Häuschen a Herança,0,2019,\N,\N,"Horror,Short",6.4,11.0
tt10815668,Final Destination 3 (2006),0,2019,\N,\N,"Comedy,Horror",8.7,15.0
tt10816172,Chapter 2,0,2020,\N,22,"Drama,Horror,Thriller",6.9,21.0
tt10816222,Kamini,0,2019,\N,30,Horror,4.2,114.0
tt10816616,Gore Theatre 2,0,2020,\N,\N,Horror,7.6,5.0
tt10817348,Cupid,0,2020,\N,83,Horror,4.7,1188.0
tt10820876,Abandoned,0,2019,\N,76,Horror,5.8,14.0
tt1082109,Sweet Tooth,0,2008,\N,10,"Horror,Short",6.5,57.0
